PH2Number;PH2Name;PH3Number;PH3Name;PH4Number;PH4Name
750001;PIANO;750001001;UPRIGHT;750001001001;B-SERIES (YI / HY)
750001;PIANO;750001001;UPRIGHT;750001001002;GP (GC/CX)
750001;PIANO;750001002;GRANDPIANO;750001002001;GP
750001;PIANO;750001002;GRANDPIANO;750001002002;GP (GB)
750001;PIANO;750001003;SECOND HAND PIANO UP;750001003001;SECOND HAND PIANO UP
750001;PIANO;750001003;SECOND HAND PIANO UP;750001003002;SECOND HAND PIANO GP
750001;PIANO;750001004;DISKLAVIER;750001004001;UP
750001;PIANO;750001004;DISKLAVIER;750001004002;GP
750002;PREMIUM PIANO;750002001;GRANDPIANO Premium;750002001001;SX/CF
750003;BOSENDORFER;750003001;ACOUNTIC;750003001001;UP
750003;BOSENDORFER;750003001;ACOUNTIC;750003001002;GP
750003;BOSENDORFER;750003002;SILENT;750003002001;UP
750003;BOSENDORFER;750003002;SILENT;750003002002;GP
750004;HYBRID;750004001;HYBRID PIANO;750004001001;HYBRID PIANO
750004;HYBRID;750004002;AGENT HYBRID;750004002001;AGENT HYBRID
750005;Digital PIANO;750005001;SIMPLE;750005001001;SIMPLE
750005;Digital PIANO;750005002;VERSATILE;750005002001;VERSATILE
750005;Digital PIANO;750005003;COMPACT;750005003001;COMPACT
750005;Digital PIANO;750005004;OPEN DP;750005004001;SIMPLE
750005;Digital PIANO;750005004;OPEN DP;750005004002;VERSATILE
750005;Digital PIANO;750005004;OPEN DP;750005004003;COMPACT
750005;Digital PIANO;750005004;OPEN DP;750005004004;ACCESSORIES
750005;Digital PIANO;750005005;AGENT DP;750005005001;AGENT SIMPLE
750005;Digital PIANO;750005005;AGENT DP;750005005002;AGENT VERSATILE
750005;Digital PIANO;750005005;AGENT DP;750005005003;AGENT SMART
750005;Digital PIANO;750005005;AGENT DP;750005005004;AGENT CLP
750006;PORTABLE KEYBOARD;750006001;PK SELECTIVE;750006001001;PK SELECTIVE
750006;PORTABLE KEYBOARD;750006002;OPEN PK;750006002001;OPEN PK
750006;PORTABLE KEYBOARD;750006002;OPEN PK;750006002002;ACCESSORIES
750006;PORTABLE KEYBOARD;750006003;AGENT PK;750006003001;AGENT PK SELECTIVE
750007;B&O;750007001;STUDENT MODELS;750007001001;STUDENT, INTERMEDIATE
750007;B&O;750007002;PRO MODELS;750007002001;TR (6, 8, 0)
750007;B&O;750007002;PRO MODELS;750007002002;CL (6, CUSTOM)
750007;B&O;750007002;PRO MODELS;750007002003;SAX (6, 8)
750007;B&O;750007002;PRO MODELS;750007002004;FL (5-8)
